start,end,operator,steps,share
0,8,conditional,8,0.2857142857142857
8,10,wiring-msb,2,0.07142857142857142
10,11,wiring-bit5,1,0.03571428571428571
11,15,expansion,4,0.14285714285714285
15,16,adaptation,1,0.03571428571428571
16,22,conditional,6,0.21428571428571427
22,28,wiring-addself,6,0.21428571428571427
