file,seed,label,classification,detail,change_rate_early,change_rate_final,frozen_ratio,white_ratio,width,generations
boundary-guardian-001-seed-238310129.edn,,,barcode,"87% columns frozen, 13 stripes",0.21250000000000005,0.007499999999999998,0.87,0.33,100,101
boundary-guardian-001-seed-352362012.edn,,,barcode,"87% columns frozen, 8 stripes",0.1875,0.05400000000000003,0.87,0.38,100,101
boundary-guardian-001-seed-4242.edn,,,barcode,"79% columns frozen, 10 stripes",0.25350000000000006,0.06850000000000002,0.79,0.33,100,101
legacy--baseline-seed-238310129.edn,,,barcode,"92% columns frozen, 9 stripes",0.18050000000000002,0.004,0.92,0.37,100,101
legacy--baseline-seed-352362012.edn,,,barcode,"93% columns frozen, 6 stripes",0.26,0.0045,0.93,0.47,100,101
legacy--baseline-seed-4242.edn,,,barcode,"74% columns frozen, 12 stripes",0.25550000000000006,0.11350000000000002,0.74,0.48,100,101
prototype-001-creative-peng-seed-238310129.edn,,,barcode,"93% columns frozen, 8 stripes",0.179,0.011,0.93,0.51,100,101
prototype-001-creative-peng-seed-352362012.edn,,,barcode,"93% columns frozen, 6 stripes",0.2695,0.004,0.93,0.63,100,101
prototype-001-creative-peng-seed-4242.edn,,,barcode,"88% columns frozen, 9 stripes",0.269,0.007000000000000001,0.88,0.42,100,101
