sigma,death-seeds,terminal-rules-seeds,cluster,pc1,pc2,death-mean,death-range,terminal-rules-mean,phenotype-activity-per-cell,entropy-early,entropy-middle,entropy-late,entropy-terminal,top1-terminal,top4-terminal,active-rules-terminal,terminal-rule-flux,class4-early,class4-middle,class4-late,class4-terminal,class4-peak,entropy-delta
23457061,120|120|120,39|34|41,1,-3.89168138,0.119613849,120.000000,0.00000000,38.0000000,0.323379630,0.642328994,0.610790994,0.627341850,0.631817451,0.0722222222,0.227777778,38.0000000,0.472222222,0.0887500000,0.135694444,0.0638211382,0.0666666667,0.272222222,-0.0149871444
23476105,120|120|120,38|36|40,1,-3.29973959,-0.279450168,120.000000,0.00000000,38.0000000,0.281250000,0.649799026,0.638221053,0.601173740,0.613990895,0.116666667,0.327777778,38.0000000,0.372222222,0.0545833333,0.0762500000,0.110298103,0.111111111,0.200000000,-0.0486252858
23540167,120|120|120,21|35|9,1,0.318425985,-1.28740509,120.000000,0.00000000,21.6666667,0.175833333,0.623089544,0.472169005,0.417169692,0.419353826,0.372222222,0.638888889,21.6666667,0.283333333,0.0462500000,0.0237500000,0.0219512195,0.00555555556,0.122222222,-0.205919852
23560714,120|120|120,30|16|28,1,-1.35575134,0.383263752,120.000000,0.00000000,24.6666667,0.238101852,0.593942187,0.553450546,0.544043144,0.517416067,0.155555556,0.461111111,24.6666667,0.255555556,0.0875000000,0.118888889,0.109485095,0.0777777778,0.266666667,-0.0498990423
23574160,120|120|120,39|10|19,1,-0.254423545,-1.64464605,120.000000,0.00000000,22.6666667,0.203842593,0.649508331,0.582160166,0.480768259,0.410195872,0.383333333,0.638888889,22.6666667,0.277777778,0.0231944444,0.0152777778,0.00867208672,0.00555555556,0.0888888889,-0.168740073
23647501,120|120|120,17|14|25,1,-0.243786709,3.43275863,120.000000,0.00000000,18.6666667,0.366851852,0.629189509,0.509315760,0.438532971,0.444794944,0.277777778,0.572222222,18.6666667,0.200000000,0.108888889,0.226527778,0.315040650,0.288888889,0.427777778,-0.190656538
23647510,120|120|120,31|19|11,1,0.210816441,-1.20830918,120.000000,0.00000000,20.3333333,0.460462963,0.557043005,0.348965723,0.436983818,0.444152561,0.272222222,0.600000000,20.3333333,0.216666667,0.0269444444,0.00388888889,0.00650406504,0.00555555556,0.0888888889,-0.120059187
23654017,120|120|120,20|27|30,1,-1.00675054,-0.979297696,120.000000,0.00000000,25.6666667,0.281712963,0.642838252,0.572641747,0.495582848,0.479583607,0.288888889,0.550000000,25.6666667,0.294444444,0.0504166667,0.0386111111,0.0295392954,0.0333333333,0.127777778,-0.147255405
23657014,120|120|120,15|18|3,0,1.80406471,1.02285696,120.000000,0.00000000,12.0000000,0.417916667,0.582086706,0.476415841,0.356413402,0.288546397,0.555555556,0.788888889,12.0000000,0.116666667,0.114166667,0.128472222,0.0638211382,0.0388888889,0.255555556,-0.225673304
23710465,120|120|120,35|28|43,1,-3.07235628,1.89161331,120.000000,0.00000000,35.3333333,0.328796296,0.616200668,0.575885651,0.575893259,0.594196687,0.127777778,0.344444444,35.3333333,0.416666667,0.107638889,0.184861111,0.183062331,0.188888889,0.416666667,-0.0403074086
